unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658354400,2022.07.20 22:00,BTC/USDT,236076000000,23641.78000000,23304.56000000,233096000000,5176.52817000,121485123.89357490,184574
1658350800,2022.07.20 21:00,BTC/USDT,23262.32000000,23799.62000000,232387000000,23608.15000000,69379253000,162844771.37779240,215413
1658347200,2022.07.20 20:00,BTC/USDT,23663.24000000,23767.73000000,22906.19000000,23259.70000000,20570.95303000,477327560.81925760,452825
1658343600,2022.07.20 19:00,BTC/USDT,23765.37000000,239500000000,23556.57000000,23660.38000000,7694.83074000,1825335437002230,230924
1658340000,2022.07.20 18:00,BTC/USDT,23515.48000000,23867.39000000,235095000000,23762.85000000,8316.25058000,197407136.45108260,241617
1658336400,2022.07.20 17:00,BTC/USDT,23686.63000000,23749.99000000,234000000000,23515.48000000,112363620000,265108778.82883190,312421
1658332800,2022.07.20 16:00,BTC/USDT,24172.64000000,24201.94000000,23546.19000000,23683.97000000,14797.80719000,352919168.47526830,374646
1658329200,2022.07.20 15:00,BTC/USDT,24191.35000000,24276.74000000,24040.22000000,24172.63000000,12430.40165000,300260965.79231050,326373
1658325600,2022.07.20 14:00,BTC/USDT,23781.35000000,24199.74000000,236870000000,24191.35000000,12386.31044000,296795096.67260390,346469
1658322000,2022.07.20 13:00,BTC/USDT,23804.54000000,24075.99000000,23761.36000000,23781.35000000,13798.29087000,329801803.68776510,367252
1658318400,2022.07.20 12:00,BTC/USDT,23728.55000000,239350000000,23567.91000000,238041000000,13044.14991000,309994191.44892580,345012
1658314800,2022.07.20 11:00,BTC/USDT,237096000000,238350000000,23583.80000000,23728.55000000,8322.69371000,197200802.15628320,245948
1658311200,2022.07.20 10:00,BTC/USDT,23524.66000000,238884000000,23502.99000000,237096000000,12954.95016000,306825153.88291820,320578
1658307600,2022.07.20 9:00,BTC/USDT,23369.19000000,23578.87000000,23313.90000000,23524.84000000,74263626000,174484860.55250360,208715
1658304000,2022.07.20 8:00,BTC/USDT,23381.18000000,23519.53000000,23314.70000000,23366.87000000,8824.18075000,206613689.44273890,229351
1658300400,2022.07.20 7:00,BTC/USDT,23783.59000000,23864.15000000,23371.68000000,23381.18000000,9995.27864000,236167151.35076270,269204
1658296800,2022.07.20 6:00,BTC/USDT,23498.44000000,23822.31000000,23485.41000000,23781.71000000,9320.82682000,220580094.18779440,248688
1658293200,2022.07.20 5:00,BTC/USDT,23394.12000000,235620000000,233150000000,23498.44000000,6033.51470000,141386846.55222440,183525
1658289600,2022.07.20 4:00,BTC/USDT,234381000000,23519.69000000,23303.43000000,23394.12000000,5553.36671000,129901605.91345350,168771
1658286000,2022.07.20 3:00,BTC/USDT,23371.35000000,23522.40000000,23267.27000000,23436.85000000,7434.10414000,1739480789936720,199013
1658282400,2022.07.20 2:00,BTC/USDT,23256.89000000,235020000000,23205.77000000,23370.43000000,7286.49026000,170279489.29966940,190194
1658278800,2022.07.20 1:00,BTC/USDT,23034.49000000,23338.30000000,22931.42000000,23259.48000000,8963.61312000,207565064.59390090,213748
1658275200,2022.07.20 0:00,BTC/USDT,23398.48000000,23439.38000000,229220000000,23034.49000000,131704666000,305413703.53780870,275447
